alg,suite,fid,dim,ERT,succ,runs,best_err,mean_err
CMAES,cec2022,1,20,7532.6,30,30,0.0,4.168517383125921e-14
CMAES,cec2022,2,20,2331545.0,1,30,5.684341886080802e-14,47.029432214353776
CMAES,cec2022,3,20,4026.6,30,30,0.0,9.852859269206723e-14
CMAES,cec2022,4,20,nan,0,30,42.000000000000114,89.20000000000006
CMAES,cec2022,5,20,267819.28571428574,7,30,0.0,0.5966060823929183
CMAES,cec2022,6,20,nan,0,30,1.195716377598501,176.57748836264574
CMAES,cec2022,7,20,nan,0,30,21.018190336014413,67.76087549238416
CMAES,cec2022,8,20,nan,0,30,20.500232357160257,54.3930611442202
CMAES,cec2022,9,20,nan,0,30,335.63877538543056,335.63877538543073
CMAES,cec2022,10,20,nan,0,30,401.36110260062924,903.0060428637405
CMAES,cec2022,11,20,7901.0,30,30,6.366462912410498e-12,8.928206322404245e-12
CMAES,cec2022,12,20,nan,0,30,238.95734239107378,260.5364579310206
GWO,cec2022,1,20,nan,0,30,6.190558976546015,145.1789539467477
GWO,cec2022,2,20,nan,0,30,45.27069737586601,61.41312536208884
GWO,cec2022,3,20,nan,0,30,6.205024988048535e-06,0.0037714525123305974
GWO,cec2022,4,20,nan,0,30,26.00013721527182,94.21829973675084
GWO,cec2022,5,20,nan,0,30,0.0022751639014586544,0.37505433386505727
GWO,cec2022,6,20,nan,0,30,38507.22613667385,75232.64797580264
GWO,cec2022,7,20,nan,0,30,24.039402365089018,50.46870038386983
GWO,cec2022,8,20,nan,0,30,28.78706980818879,815.6685586764221
GWO,cec2022,9,20,nan,0,30,338.7687323791097,349.52308680330265
GWO,cec2022,10,20,nan,0,30,397.2408339600229,966.8201269278385
GWO,cec2022,11,20,nan,0,30,0.14004562316995361,6.025514713371907
GWO,cec2022,12,20,nan,0,30,238.94164438824737,251.6161434758232
JADE,cec2022,1,20,63403.333333333336,30,30,0.0,0.0
JADE,cec2022,2,20,nan,0,30,49.08448258445401,49.08448258445402
JADE,cec2022,3,20,50020.0,30,30,0.0,3.789561257387201e-15
JADE,cec2022,4,20,nan,0,30,28.556004101738495,42.26696630998794
JADE,cec2022,5,20,57553.333333333336,30,30,0.0,7.579122514774402e-14
JADE,cec2022,6,20,nan,0,30,452.07911013464854,3165.1508227665463
JADE,cec2022,7,20,nan,0,30,24.56801003006035,26.910798498660537
JADE,cec2022,8,20,nan,0,30,22.978366381077194,24.36314855773911
JADE,cec2022,9,20,nan,0,30,335.63877538543056,335.63877538543056
JADE,cec2022,10,20,nan,0,30,396.5659827147665,430.0759054938786
JADE,cec2022,11,20,78973.33333333333,30,30,4.547473508864641e-13,4.547473508864641e-13
JADE,cec2022,12,20,nan,0,30,235.32362947860156,238.94531620748995
LBFGSB,cec2022,1,20,62021.41176470588,17,30,1.4722445484949276e-11,2139.585439081134
LBFGSB,cec2022,2,20,nan,0,30,45.630491946088,948.1856084682461
LBFGSB,cec2022,3,20,nan,0,30,4.95364588459779e-07,0.3173430686400858
LBFGSB,cec2022,4,20,nan,0,30,551.0000000001342,877.1378150066045
LBFGSB,cec2022,5,20,nan,0,30,4.822293744211493,13.254273292510922
LBFGSB,cec2022,6,20,nan,0,30,80.14723152536635,5034.990287294135
LBFGSB,cec2022,7,20,nan,0,30,283.29302668693344,8448.866613662529
LBFGSB,cec2022,8,20,nan,0,30,876.7440629795055,1.526349652395255e+19
LBFGSB,cec2022,9,20,nan,0,30,296.7210540296619,604.1432534371893
LBFGSB,cec2022,10,20,nan,0,30,2002.9388051849182,3957.3104835178306
LBFGSB,cec2022,11,20,nan,0,30,8.401129434787435e-06,14080.473679010738
LBFGSB,cec2022,12,20,nan,0,30,328.36107535696146,1256.0467787792745
LSHADE,cec2022,1,20,53940.0,30,30,0.0,1.8947806286936005e-15
LSHADE,cec2022,2,20,nan,0,30,49.08448258445401,49.08448258445401
LSHADE,cec2022,3,20,39793.333333333336,30,30,0.0,0.0
LSHADE,cec2022,4,20,nan,0,30,19.82234283790592,39.913063259871976
LSHADE,cec2022,5,20,48776.666666666664,30,30,0.0,3.789561257387201e-15
LSHADE,cec2022,6,20,nan,0,30,126.46547551490016,4033.325133446463
LSHADE,cec2022,7,20,nan,0,30,23.532640737732663,25.254485456343605
LSHADE,cec2022,8,20,nan,0,30,9.267608924919386,23.9690941115802
LSHADE,cec2022,9,20,nan,0,30,335.63877538543056,335.63877538543056
LSHADE,cec2022,10,20,nan,0,30,396.56598271476696,401.52500934701214
LSHADE,cec2022,11,20,69076.66666666667,30,30,0.0,4.395891058569153e-13
LSHADE,cec2022,12,20,nan,0,30,235.78412527310093,238.28094784023583
GA,cec2022,1,20,nan,0,30,0.4153869936706087,41.51126257057138
GA,cec2022,2,20,nan,0,30,5.54379340294679,62.94588692113349
GA,cec2022,3,20,nan,0,30,5.9876316527152085e-06,1.576864388728912e-05
GA,cec2022,4,20,nan,0,30,44.0096290112549,98.99380120451737
GA,cec2022,5,20,nan,0,30,0.17994854805897376,1.7212966085884092
GA,cec2022,6,20,nan,0,30,41737.82426258415,88784.84910428779
GA,cec2022,7,20,nan,0,30,24.144600184189812,30.12768609355043
GA,cec2022,8,20,nan,0,30,35.01477021817391,857.3298211317492
GA,cec2022,9,20,nan,0,30,338.964537216606,352.0449712977632
GA,cec2022,10,20,nan,0,30,401.85044618283064,1264.7062550358748
GA,cec2022,11,20,nan,0,30,0.09007403556461213,2.667462307924461
GA,cec2022,12,20,nan,0,30,245.0853637162695,261.7475630607066
NLSHADE-RSP,cec2022,1,20,80002.0,30,30,5.684341886080802e-14,4.513367457548157e-12
NLSHADE-RSP,cec2022,2,20,nan,0,30,49.0844826049223,49.084483778698235
NLSHADE-RSP,cec2022,3,20,80002.0,30,30,0.0,2.2737367544323207e-14
NLSHADE-RSP,cec2022,4,20,nan,0,30,74.0,129.24988657876776
NLSHADE-RSP,cec2022,5,20,1200002.0,2,30,1.439275365555659e-10,0.30220835839755483
NLSHADE-RSP,cec2022,6,20,nan,0,30,5998.388052462286,19058.99319469684
NLSHADE-RSP,cec2022,7,20,nan,0,30,26.30206570593191,31.901803187157757
NLSHADE-RSP,cec2022,8,20,nan,0,30,22.954026031567537,31.363300021569103
NLSHADE-RSP,cec2022,9,20,nan,0,30,3.216699042241089e-06,324.49063453345804
NLSHADE-RSP,cec2022,10,20,nan,0,30,396.2693217480555,398.9753579322028
NLSHADE-RSP,cec2022,11,20,82760.62068965517,29,30,3.637978807091713e-12,2.3912434699013828e-09
NLSHADE-RSP,cec2022,12,20,nan,0,30,237.2588794751655,243.38092226003926
PSO,cec2022,1,20,80100.0,30,30,5.684341886080802e-14,1.7431981783981126e-13
PSO,cec2022,2,20,nan,0,30,5.126883710360971,49.614841771869436
PSO,cec2022,3,20,80100.0,30,30,1.1368683772161603e-13,2.1979455292845766e-13
PSO,cec2022,4,20,nan,0,30,54.0,168.41731683148677
PSO,cec2022,5,20,nan,0,30,0.9086495727310648,3.6818933899124544
PSO,cec2022,6,20,nan,0,30,15429.765763749736,54851.19291102257
PSO,cec2022,7,20,nan,0,30,23.523060481942593,43.834498133191495
PSO,cec2022,8,20,nan,0,30,30.669058368065635,369.7813743562426
PSO,cec2022,9,20,nan,0,30,341.33100720006814,367.77375141062606
PSO,cec2022,10,20,nan,0,30,403.3695057603336,660.6251828351934
PSO,cec2022,11,20,104447.82608695653,23,30,1.3642420526593924e-12,1.9245357156201104
PSO,cec2022,12,20,nan,0,30,263.9645688744058,323.8121350335235
Spiral-LSHADE,cec2022,1,20,80000.0,30,30,6.821210263296962e-13,7.459751335166704e-12
Spiral-LSHADE,cec2022,2,20,nan,0,30,49.084482584454236,49.08448258445881
Spiral-LSHADE,cec2022,3,20,80000.0,30,30,0.0,0.0
Spiral-LSHADE,cec2022,4,20,nan,0,30,24.0,61.212425773485855
Spiral-LSHADE,cec2022,5,20,80000.0,30,30,0.0,1.2126596023639043e-13
Spiral-LSHADE,cec2022,6,20,nan,0,30,9.132367399922032,101.82298825385679
Spiral-LSHADE,cec2022,7,20,nan,0,30,21.374177149329398,26.127465994647217
Spiral-LSHADE,cec2022,8,20,nan,0,30,21.261611792981967,24.011982690174623
Spiral-LSHADE,cec2022,9,20,nan,0,30,335.63877538551606,335.63877637477174
Spiral-LSHADE,cec2022,10,20,nan,0,30,396.56598396009304,400.79738547308324
Spiral-LSHADE,cec2022,11,20,nan,0,30,1.777884790499229e-07,5.326765100714208e-07
Spiral-LSHADE,cec2022,12,20,nan,0,30,235.78535114807528,239.12718014047607
SSA,cec2022,1,20,nan,0,30,1.7128724039139342e-07,1.4013908114899703e-05
SSA,cec2022,2,20,nan,0,30,11.48796945848585,189.48822764629637
SSA,cec2022,3,20,152100.0,30,30,2.1600499167107046e-12,1.918275908489401e-11
SSA,cec2022,4,20,nan,0,30,166.50000000000296,272.7863218494008
SSA,cec2022,5,20,nan,0,30,1.4561091349805793,3.317159624175819
SSA,cec2022,6,20,nan,0,30,20510.498455635192,215601135.71171343
SSA,cec2022,7,20,nan,0,30,317.13439497032005,1345.084583794105
SSA,cec2022,8,20,nan,0,30,784.08317029415,2979.976259357382
SSA,cec2022,9,20,nan,0,30,468.29779565662966,1386.6639062011313
SSA,cec2022,10,20,nan,0,30,414.16149870777963,1641.7948229790734
SSA,cec2022,11,20,nan,0,30,2.843262154783588e-05,323.94879668741663
