alg,suite,fid,dim,run,fbest,err,nfe,hit,time_sec
NLSHADE-RSP,cec2022,1,20,0,300.0000000000026,2.6147972675971687e-12,80002,1,1.8802740573883057
LSHADE,cec2022,1,20,0,300.0,0.0,49300,1,1.2844164371490479
JADE,cec2022,1,20,0,300.0,0.0,56200,1,1.4356539249420166
jSO,cec2022,1,20,0,300.00000000000006,5.684341886080802e-14,65900,1,1.7833099365234375
Spiral-LSHADE,cec2022,1,20,0,300.00000000008833,8.833467290969566e-11,80000,1,5.230219841003418
CMAES,cec2022,1,20,0,300.00000000000006,5.684341886080802e-14,6601,1,0.7212023735046387
SciPyDE,cec2022,1,20,0,304.06470490518416,4.064704905184158,78300,0,3.37296199798584
LBFGSB,cec2022,1,20,0,300.00000006033883,6.033883437339682e-08,924,0,0.023667573928833008
PSO,cec2022,1,20,0,300.0000000000001,1.1368683772161603e-13,80100,1,5.318709135055542
GWO,cec2022,1,20,0,654.4135263471223,354.41352634712234,80100,0,6.145885229110718
GA,cec2022,1,20,0,323.9839521154155,23.98395211541549,80100,0,9.955888032913208
SSA,cec2022,1,20,0,300.0001525708312,0.00015257083117603543,152100,0,15.501827001571655
NLSHADE-RSP,cec2022,1,20,1,300.00000000000006,5.684341886080802e-14,80002,1,2.124912977218628
LSHADE,cec2022,1,20,1,300.0,0.0,66400,1,1.833601951599121
JADE,cec2022,1,20,1,300.0,0.0,65700,1,1.7879643440246582
jSO,cec2022,1,20,1,300.00000000000006,5.684341886080802e-14,64651,1,1.8694500923156738
Spiral-LSHADE,cec2022,1,20,1,300.0000000000065,6.480149750132114e-12,80000,1,5.430279493331909
CMAES,cec2022,1,20,1,300.00000000000006,5.684341886080802e-14,8053,1,0.9068682193756104
SciPyDE,cec2022,1,20,1,303.7417072986075,3.74170729860748,74400,0,3.312004327774048
LBFGSB,cec2022,1,20,1,300.00000000427644,4.2764440877363086e-09,924,1,0.024981021881103516
PSO,cec2022,1,20,1,300.0000000000001,1.1368683772161603e-13,80100,1,5.513653516769409
GWO,cec2022,1,20,1,401.23896490885926,101.23896490885926,80100,0,6.217051982879639
GA,cec2022,1,20,1,306.68760993416674,6.687609934166744,80100,0,12.276388883590698
SSA,cec2022,1,20,1,300.000000299277,2.9927701916676597e-07,152100,0,16.20663809776306
NLSHADE-RSP,cec2022,1,20,2,300.00000000000006,5.684341886080802e-14,80002,1,2.1375973224639893
LSHADE,cec2022,1,20,2,300.0,0.0,57800,1,1.8477935791015625
JADE,cec2022,1,20,2,300.0,0.0,66700,1,2.0301196575164795
jSO,cec2022,1,20,2,300.0,0.0,68650,1,2.5208628177642822
Spiral-LSHADE,cec2022,1,20,2,300.00000000000597,5.9685589803848416e-12,80000,1,6.588730812072754
CMAES,cec2022,1,20,2,300.00000000000006,5.684341886080802e-14,8929,1,1.0809211730957031
SciPyDE,cec2022,1,20,2,303.7104672431984,3.7104672431984227,71400,0,3.3173789978027344
LBFGSB,cec2022,1,20,2,300.0000002697757,2.6977568268193863e-07,798,0,0.022123098373413086
PSO,cec2022,1,20,2,300.00000000000017,1.7053025658242404e-13,80100,1,5.4273765087127686
GWO,cec2022,1,20,2,520.408938689433,220.40893868943294,80100,0,6.6104490756988525
GA,cec2022,1,20,2,300.4153869936706,0.4153869936706087,80100,0,10.396191835403442
SSA,cec2022,1,20,2,300.00006568754236,6.568754236013774e-05,152100,0,19.907979488372803
NLSHADE-RSP,cec2022,1,20,3,300.00000000000733,7.332801033044234e-12,80002,1,2.2284328937530518
LSHADE,cec2022,1,20,3,300.0,0.0,53400,1,1.6575696468353271
JADE,cec2022,1,20,3,300.0,0.0,62700,1,1.8545136451721191
jSO,cec2022,1,20,3,300.00000000000006,5.684341886080802e-14,65900,1,2.1007070541381836
Spiral-LSHADE,cec2022,1,20,3,300.000000000002,1.9895196601282805e-12,80000,1,6.164604902267456
CMAES,cec2022,1,20,3,300.00000000000006,5.684341886080802e-14,8413,1,1.0824956893920898
SciPyDE,cec2022,1,20,3,304.21378950592333,4.21378950592333,80100,0,3.9937779903411865
LBFGSB,cec2022,1,20,3,300.00000000032907,3.290665517852176e-10,819,1,0.03718423843383789
PSO,cec2022,1,20,3,300.00000000000017,1.7053025658242404e-13,80100,1,6.474684238433838
GWO,cec2022,1,20,3,697.1245691053516,397.1245691053516,80100,0,7.2713727951049805
GA,cec2022,1,20,3,316.4112849610664,16.41128496106637,80100,0,11.657845497131348
