alg,fid,run,fbest,suite,dim,nfe,time_sec,hit,err
CMAES,8,0,2.000000200000006,eng,3,498,0.0650439262390136,0,1.000000200000006
CMAES,8,1,2.000000200000006,eng,3,435,0.0584242343902587,0,1.000000200000006
CMAES,8,2,2.000000200000006,eng,3,491,0.0654528141021728,0,1.000000200000006
CMAES,8,3,2.000000200000006,eng,3,477,0.0607450008392334,0,1.000000200000006
CMAES,8,4,2.000000200000006,eng,3,484,0.0649952888488769,0,1.000000200000006
CMAES,8,5,2.000000200000006,eng,3,442,0.0555386543273925,0,1.000000200000006
CMAES,8,6,2.000000200000006,eng,3,470,0.0573453903198242,0,1.000000200000006
CMAES,8,7,2.000000200000006,eng,3,498,0.0609881877899169,0,1.000000200000006
CMAES,8,8,2.000000200000006,eng,3,519,0.065415620803833,0,1.000000200000006
CMAES,8,9,2.000000200000006,eng,3,477,0.060464859008789,0,1.000000200000006
CMAES,8,10,2.000000200000006,eng,3,435,0.0559155941009521,0,1.000000200000006
CMAES,8,11,2.000000200000006,eng,3,393,0.048447847366333,0,1.000000200000006
CMAES,8,12,2.000000200000006,eng,3,477,0.0586788654327392,0,1.000000200000006
CMAES,8,13,2.000000200000006,eng,3,435,0.0535194873809814,0,1.000000200000006
CMAES,8,14,2.000000200000006,eng,3,449,0.0532889366149902,0,1.000000200000006
CMAES,8,15,2.000000200000006,eng,3,512,0.0610966682434082,0,1.000000200000006
CMAES,8,16,2.000000200000006,eng,3,547,0.0657892227172851,0,1.000000200000006
CMAES,8,17,2.000000200000006,eng,3,435,0.0531625747680664,0,1.000000200000006
CMAES,8,18,2.000000200000006,eng,3,477,0.057173728942871,0,1.000000200000006
CMAES,8,19,2.000000200000006,eng,3,442,0.0561373233795166,0,1.000000200000006
CMAES,8,20,2.000000200000006,eng,3,456,0.0545814037322998,0,1.000000200000006
CMAES,8,21,2.000000200000006,eng,3,589,0.0762438774108886,0,1.000000200000006
CMAES,8,22,2.000000200000006,eng,3,456,0.0555160045623779,0,1.000000200000006
