alg,mean_rank
jSO,2.3333333333333335
NLSHADE-RSP,2.8333333333333335
Spiral-LSHADE,3.3333333333333335
LSHADE,3.4166666666666665
JADE,4.25
PSO,7.333333333333333
CMAES,7.583333333333333
SciPyDE,7.916666666666667
GWO,8.083333333333334
GA,8.666666666666666
SSA,10.416666666666666
LBFGSB,11.833333333333334
