alg1,alg2,diff,significant
jSO,NLSHADE-RSP,0.5,False
jSO,Spiral-LSHADE,1.0,False
jSO,LSHADE,1.083333333333333,False
jSO,JADE,1.9166666666666665,False
jSO,PSO,5.0,True
jSO,CMAES,5.25,True
jSO,SciPyDE,5.583333333333334,True
jSO,GWO,5.75,True
jSO,GA,6.333333333333332,True
jSO,SSA,8.083333333333332,True
jSO,LBFGSB,9.5,True
NLSHADE-RSP,Spiral-LSHADE,0.5,False
NLSHADE-RSP,LSHADE,0.583333333333333,False
NLSHADE-RSP,JADE,1.4166666666666665,False
NLSHADE-RSP,PSO,4.5,False
NLSHADE-RSP,CMAES,4.75,False
NLSHADE-RSP,SciPyDE,5.083333333333334,True
NLSHADE-RSP,GWO,5.25,True
NLSHADE-RSP,GA,5.833333333333332,True
NLSHADE-RSP,SSA,7.583333333333332,True
NLSHADE-RSP,LBFGSB,9.0,True
Spiral-LSHADE,LSHADE,0.08333333333333304,False
Spiral-LSHADE,JADE,0.9166666666666665,False
Spiral-LSHADE,PSO,3.9999999999999996,False
Spiral-LSHADE,CMAES,4.25,False
Spiral-LSHADE,SciPyDE,4.583333333333334,False
Spiral-LSHADE,GWO,4.75,False
Spiral-LSHADE,GA,5.333333333333332,True
Spiral-LSHADE,SSA,7.083333333333332,True
Spiral-LSHADE,LBFGSB,8.5,True
LSHADE,JADE,0.8333333333333335,False
LSHADE,PSO,3.9166666666666665,False
LSHADE,CMAES,4.166666666666666,False
LSHADE,SciPyDE,4.5,False
LSHADE,GWO,4.666666666666668,False
LSHADE,GA,5.25,True
LSHADE,SSA,7.0,True
LSHADE,LBFGSB,8.416666666666668,True
JADE,PSO,3.083333333333333,False
JADE,CMAES,3.333333333333333,False
JADE,SciPyDE,3.666666666666667,False
JADE,GWO,3.833333333333334,False
JADE,GA,4.416666666666666,False
JADE,SSA,6.166666666666666,True
JADE,LBFGSB,7.583333333333334,True
PSO,CMAES,0.25,False
PSO,SciPyDE,0.5833333333333339,False
PSO,GWO,0.7500000000000009,False
PSO,GA,1.333333333333333,False
PSO,SSA,3.083333333333333,False
PSO,LBFGSB,4.500000000000001,False
CMAES,SciPyDE,0.3333333333333339,False
CMAES,GWO,0.5000000000000009,False
CMAES,GA,1.083333333333333,False
CMAES,SSA,2.833333333333333,False
CMAES,LBFGSB,4.250000000000001,False
SciPyDE,GWO,0.16666666666666696,False
SciPyDE,GA,0.7499999999999991,False
SciPyDE,SSA,2.499999999999999,False
SciPyDE,LBFGSB,3.916666666666667,False
GWO,GA,0.5833333333333321,False
GWO,SSA,2.333333333333332,False
GWO,LBFGSB,3.75,False
GA,SSA,1.75,False
GA,LBFGSB,3.166666666666668,False
SSA,LBFGSB,1.4166666666666679,False
