fid,CMAES,GA,GWO,JADE,LBFGSB,LSHADE,NLSHADE-RSP,PSO,SSA,SciPyDE,Spiral-LSHADE,jSO
1,6.0,10.0,9.0,2.0,12.0,2.0,4.0,7.0,11.0,8.0,5.0,2.0
2,5.0,10.0,9.0,4.0,12.0,8.0,1.0,3.0,11.0,6.0,2.0,7.0
3,6.0,9.0,10.0,3.0,11.0,3.0,3.0,7.0,8.0,12.0,3.0,3.0
4,7.0,9.0,6.0,4.0,12.0,2.0,5.0,10.0,11.0,8.0,3.0,1.0
5,7.0,8.0,6.0,4.0,12.0,2.0,5.0,9.0,10.0,11.0,2.0,2.0
6,6.0,10.0,11.0,7.0,12.0,3.0,4.0,8.0,9.0,5.0,2.0,1.0
7,8.0,6.0,9.0,3.0,12.0,2.0,1.0,7.0,11.0,10.0,5.0,4.0
8,9.0,10.0,7.0,5.0,12.0,3.0,2.0,6.0,11.0,8.0,4.0,1.0
9,9.0,10.0,8.0,7.0,11.0,5.0,2.0,6.0,12.0,4.0,3.0,1.0
10,10.0,8.0,7.0,6.0,12.0,4.0,2.0,9.0,11.0,5.0,3.0,1.0
11,11.0,6.0,10.0,2.0,12.0,1.0,4.0,7.0,9.0,8.0,5.0,3.0
12,7.0,8.0,5.0,4.0,12.0,6.0,1.0,9.0,11.0,10.0,3.0,2.0
