alg,suite,fid,dim,run,fbest,err,nfe,hit,time_sec
NLSHADE-RSP,cec2022,1,10,0,300.0,0.0,40002,1,1.2254152297973633
LSHADE,cec2022,1,10,0,300.0,0.0,19400,1,0.6085383892059326
JADE,cec2022,1,10,0,300.0,0.0,12630,1,0.39260363578796387
jSO,cec2022,1,10,0,300.0,0.0,30824,1,1.0050804615020752
Spiral-LSHADE,cec2022,1,10,0,300.0,0.0,40000,1,3.3954315185546875
CMAES,cec2022,1,10,0,300.0,0.0,3251,1,0.43068838119506836
SciPyDE,cec2022,1,10,0,302.12130488477453,2.1213048847745313,16050,0,0.743776798248291
LBFGSB,cec2022,1,10,0,300.0000000000203,2.029310053330846e-11,330,1,0.011601924896240234
PSO,cec2022,1,10,0,300.00000000000006,5.684341886080802e-14,40050,1,3.7778589725494385
GWO,cec2022,1,10,0,334.42857469128177,34.42857469128177,40050,0,4.686506271362305
GA,cec2022,1,10,0,302.63772242337427,2.637722423374271,40050,0,7.33445405960083
SSA,cec2022,1,10,0,300.0053268324407,0.0053268324406872125,76050,0,11.624674558639526
NLSHADE-RSP,cec2022,1,10,1,300.0,0.0,40002,1,1.496971845626831
LSHADE,cec2022,1,10,1,300.0,0.0,19150,1,0.9203264713287354
JADE,cec2022,1,10,1,300.0,0.0,13770,1,0.5718886852264404
jSO,cec2022,1,10,1,300.0,0.0,31048,1,1.1986072063446045
Spiral-LSHADE,cec2022,1,10,1,300.0,0.0,40000,1,4.111783027648926
CMAES,cec2022,1,10,1,300.0,0.0,3161,1,0.42989397048950195
SciPyDE,cec2022,1,10,1,301.7676637979858,1.76766379798579,15900,0,0.977156400680542
LBFGSB,cec2022,1,10,1,300.0000001652574,1.6525740420547663e-07,363,0,0.021188020706176758
PSO,cec2022,1,10,1,300.00000000000006,5.684341886080802e-14,40050,1,4.626587867736816
GWO,cec2022,1,10,1,335.0533022220216,35.053302222021614,40050,0,5.053410291671753
GA,cec2022,1,10,1,311.38066384578957,11.38066384578957,40050,0,7.288249254226685
SSA,cec2022,1,10,1,300.00000014508925,1.4508924550682423e-07,76050,0,10.483237028121948
NLSHADE-RSP,cec2022,1,10,2,300.0,0.0,40002,1,1.2888076305389404
LSHADE,cec2022,1,10,2,300.0,0.0,20250,1,0.6779334545135498
JADE,cec2022,1,10,2,300.0,0.0,11520,1,0.428253173828125
jSO,cec2022,1,10,2,300.0,0.0,30266,1,1.0978200435638428
Spiral-LSHADE,cec2022,1,10,2,300.0,0.0,40000,1,3.905932903289795
CMAES,cec2022,1,10,2,300.0,0.0,3051,1,0.44812536239624023
SciPyDE,cec2022,1,10,2,301.7204734656943,1.7204734656942833,15000,0,1.121748447418213
LBFGSB,cec2022,1,10,2,300.0000000043972,4.397179509396665e-09,330,1,0.02268671989440918
PSO,cec2022,1,10,2,300.0,0.0,40050,1,4.225135326385498
GWO,cec2022,1,10,2,300.6051669453654,0.6051669453653972,40050,0,5.171243190765381
GA,cec2022,1,10,2,301.61586676532215,1.6158667653221528,40050,0,7.322243928909302
SSA,cec2022,1,10,2,2802.634713433197,2502.634713433197,76050,0,8.451716661453247
NLSHADE-RSP,cec2022,1,10,3,300.00000000000006,5.684341886080802e-14,40002,1,1.1831769943237305
LSHADE,cec2022,1,10,3,300.0,0.0,18900,1,0.5967588424682617
JADE,cec2022,1,10,3,300.0,0.0,12960,1,0.39468836784362793
jSO,cec2022,1,10,3,300.0,0.0,31267,1,1.1160731315612793
Spiral-LSHADE,cec2022,1,10,3,300.0,0.0,40000,1,3.286557197570801
CMAES,cec2022,1,10,3,300.00000000000006,5.684341886080802e-14,3751,1,0.5387704372406006
SciPyDE,cec2022,1,10,3,301.72614560092245,1.7261456009224503,16650,0,0.9327802658081055
LBFGSB,cec2022,1,10,3,300.000000000009,8.981260180007666e-12,451,1,0.01651453971862793
PSO,cec2022,1,10,3,300.00000000000006,5.684341886080802e-14,40050,1,3.111173391342163
GWO,cec2022,1,10,3,319.01579377617736,19.01579377617736,40050,0,3.652904510498047
GA,cec2022,1,10,3,313.5883439545936,13.588343954593597,40050,0,5.381807327270508
SSA,cec2022,1,10,3,300.00095037492065,0.0009503749206487555,76050,0,8.297796487808228
NLSHADE-RSP,cec2022,1,10,4,300.0,0.0,40002,1,1.1562681198120117
LSHADE,cec2022,1,10,4,300.0,0.0,18400,1,0.6127476692199707
JADE,cec2022,1,10,4,300.0,0.0,11820,1,0.3783142566680908
jSO,cec2022,1,10,4,300.0,0.0,30824,1,1.035811424255371
Spiral-LSHADE,cec2022,1,10,4,300.0,0.0,40000,1,3.317077875137329
CMAES,cec2022,1,10,4,300.00000000000006,5.684341886080802e-14,3281,1,0.4416038990020752
SciPyDE,cec2022,1,10,4,301.8798065452564,1.879806545256372,14100,0,0.6842460632324219
LBFGSB,cec2022,1,10,4,300.00000003114314,3.114314495178405e-08,440,0,0.01563572883605957
PSO,cec2022,1,10,4,300.00000000000006,5.684341886080802e-14,40050,1,3.1787805557250977
GWO,cec2022,1,10,4,315.9003285055529,15.90032850555292,40050,0,3.8006927967071533
GA,cec2022,1,10,4,319.305751911349,19.305751911348978,40050,0,5.656929016113281
SSA,cec2022,1,10,4,300.0000280433115,2.8043311488090694e-05,76050,0,8.24532151222229
NLSHADE-RSP,cec2022,1,10,5,300.0,0.0,40002,1,1.2002720832824707
LSHADE,cec2022,1,10,5,300.0,0.0,17700,1,0.6125223636627197
JADE,cec2022,1,10,5,300.0,0.0,12660,1,0.37694764137268066
jSO,cec2022,1,10,5,300.0,0.0,31048,1,0.9598748683929443
Spiral-LSHADE,cec2022,1,10,5,300.0,0.0,40000,1,3.1786282062530518
CMAES,cec2022,1,10,5,300.00000000000006,5.684341886080802e-14,3411,1,0.48761439323425293
SciPyDE,cec2022,1,10,5,301.21780717867614,1.2178071786761393,15450,0,0.7441549301147461
LBFGSB,cec2022,1,10,5,300.0000000551068,5.510679557119147e-08,319,0,0.011255979537963867
PSO,cec2022,1,10,5,300.0,0.0,40050,1,3.155550718307495
GWO,cec2022,1,10,5,312.800365111074,12.800365111073972,40050,0,3.4294419288635254
