alg1,alg2,W,p,p_holm,reject_0.05
SciPyDE,Spiral-LSHADE,0.0,1.5263183039595843e-06,9.921068975737298e-05,True
LSHADE,SciPyDE,0.0,1.506809149978707e-06,9.944940389859465e-05,True
NLSHADE-RSP,SciPyDE,0.0,1.6688878538480105e-06,0.00010180215908472864,True
NLSHADE-RSP,PSO,0.0,1.6468193103618995e-06,0.00010210279724243776,True
SciPyDE,jSO,0.0,1.6363965084210647e-06,0.00010309298003052708,True
LBFGSB,Spiral-LSHADE,1.0,1.625446291975101e-06,0.00010402856268640646,True
JADE,SciPyDE,1.0,1.8327594696084698e-06,0.00010630004923729125,True
GWO,jSO,1.0,1.8018594245265553e-06,0.00010630970604706676,True
JADE,PSO,1.0,1.7882662928379142e-06,0.00010729597757027485,True
GWO,NLSHADE-RSP,1.5,1.9084310164014793e-06,0.00010878056793488431,True
LBFGSB,jSO,2.0,2.026030115809668e-06,0.00011345768648534141,True
CMAES,SciPyDE,2.5,2.1265700137658513e-06,0.00011696135075712181,True
JADE,LBFGSB,3.0,2.2736935807554483e-06,0.00012277945336079422,True
GWO,JADE,4.5,2.4281070422158642e-06,0.00012383345915300908,True
LBFGSB,LSHADE,4.5,2.5041626454536967e-06,0.00012520813227268483,True
LSHADE,PSO,4.0,2.4233728691511942e-06,0.0001260153891958621,True
GWO,LSHADE,4.0,2.3862927890992057e-06,0.0001264735178222579,True
LBFGSB,NLSHADE-RSP,6.0,3.0415321460725682e-06,0.00014903507515755585,True
PSO,jSO,6.5,3.2035301261513687e-06,0.0001537694460552657,True
MealpyGA,NLSHADE-RSP,10.5,4.558465481194382e-06,0.00021424787761613597,True
GWO,Spiral-LSHADE,12.0,5.435462856444695e-06,0.00025003129139645596,True
CMAES,jSO,23.0,1.5213918080789951e-05,0.0006846263136355478,True
CMAES,LBFGSB,24.5,1.7764368871079394e-05,0.0007816322303274934,True
PSO,Spiral-LSHADE,28.0,2.4788262264360555e-05,0.0010658952773675038,True
JADE,MealpyGA,30.5,3.109700093968243e-05,0.001306074039466662,True
SSA,jSO,33.0,3.980622054585318e-05,0.0016320550423799803,True
JADE,SSA,39.0,6.43168327697258e-05,0.0025726733107890322,True
LSHADE,SSA,41.0,7.931457051875194e-05,0.003093268250231326,True
MealpyGA,jSO,42.0,8.552819224127398e-05,0.003250071305168411,True
PSO,SciPyDE,43.5,8.886155228324926e-05,0.0032878774344802224,True
LSHADE,MealpyGA,48.0,0.00014028437617979263,0.005050237542472535,True
NLSHADE-RSP,SSA,57.0,0.00028980937165564075,0.010143328007947426,True
MealpyGA,SciPyDE,59.0,0.00033003265564916887,0.011221110292071741,True
SSA,Spiral-LSHADE,59.5,0.0003615997232937979,0.01193279086869533,True
LBFGSB,MealpyGA,64.0,0.0004937092929521323,0.015798697374468235,True
LBFGSB,PSO,65.5,0.0005646154120110112,0.01750307777234135,True
GWO,SciPyDE,67.0,0.0005845269881965095,0.017535809645895285,True
MealpyGA,Spiral-LSHADE,71.0,0.0008618986438038461,0.02499506067031154,True
CMAES,LSHADE,75.5,0.0011846692856480891,0.033170739998146494,True
CMAES,JADE,79.0,0.0015390308317592288,0.041553832457499176,True
CMAES,GWO,80.5,0.0016714765975780353,0.04345839153702892,True
GWO,LBFGSB,82.5,0.001872340090750274,0.04680850226875685,True
CMAES,Spiral-LSHADE,90.0,0.0032160328582087837,0.0771847885970108,False
CMAES,PSO,92.5,0.003819748533851072,0.08403446774472358,False
LBFGSB,SSA,92.5,0.003748805216539937,0.08622251998041855,False
Spiral-LSHADE,jSO,107.0,0.009030350007447542,0.18963735015639838,False
CMAES,NLSHADE-RSP,125.5,0.02711294569501205,0.5422589139002411,False
LSHADE,NLSHADE-RSP,222.0,0.8277710957435143,0.8277710957435143,False
CMAES,SSA,135.0,0.04450583982330603,0.8456109566428146,False
LSHADE,jSO,140.0,0.054288568424926215,0.9771942316486719,False
JADE,jSO,166.0,0.25774734498381857,1.0,False
JADE,Spiral-LSHADE,181.5,0.2898461220824642,1.0,False
PSO,SSA,189.0,0.3691826381140203,1.0,False
SSA,SciPyDE,150.5,0.08939591934424714,1.0,False
JADE,NLSHADE-RSP,176.5,0.24370278468855555,1.0,False
LBFGSB,SciPyDE,193.5,0.41776497096138276,1.0,False
GWO,SSA,221.5,0.8203459932874726,1.0,False
GWO,PSO,182.5,0.2997583700887151,1.0,False
MealpyGA,SSA,173.5,0.22363645988816827,1.0,False
MealpyGA,PSO,205.0,0.5670374764576364,1.0,False
NLSHADE-RSP,Spiral-LSHADE,221.0,0.8122748773732142,1.0,False
JADE,LSHADE,189.5,0.5376615903634291,1.0,False
CMAES,MealpyGA,151.5,0.09496919200937028,1.0,False
LSHADE,Spiral-LSHADE,203.5,0.5468076549788521,1.0,False
GWO,MealpyGA,180.5,0.2786083326485428,1.0,False
NLSHADE-RSP,jSO,161.0,0.13917485061213228,1.0,False
