alg,n_funcs
CMAES,30
GWO,30
JADE,30
LBFGSB,30
LSHADE,30
MealpyGA,30
NLSHADE-RSP,30
PSO,30
SSA,30
SciPyDE,30
Spiral-LSHADE,30
jSO,30
