fid,CMAES,GWO,JADE,LBFGSB,LSHADE,MealpyGA,NLSHADE-RSP,PSO,SSA,SciPyDE,Spiral-LSHADE,jSO
1,1.8474111129762605e-14,4371903.493405024,0.001381399803724997,2434781531.2129793,0.00042135200408967467,889558.4673735428,2327.7332306785493,184261.35404481046,30538072.862212572,352761.53325128625,0.6495867389176311,0.00026804811824896526
2,2.3684757858670014e-14,71999355.07159919,0.0,3691263736.685296,0.0,363632.08223738975,5.523285532641846e-13,7.835309929757321e-06,345.7851974825688,5.9479949392883915,0.00055747434862303,2.4632148173016814e-14
3,5.494863823211443e-14,2230.9023713060524,256.6931698761089,626565177.7496831,9.202140442236367e-09,11574.475243323222,0.0034324664882717255,3109.9697518162716,13173.426772783458,37.42623324310126,2.601590646615174e-10,4.5001039931473014e-12
4,4.926429634603363e-14,57.30063445152598,0.5523678860385871,14864.706285289614,0.378286865002057,40.00977481165832,0.6850555021835173,23.704358292789017,212.34197707143602,32.019107899601615,12.872838643380938,0.39349900740861393
5,20.84603265848495,20.759844487560464,20.04922208934694,19.999994209699572,20.083569215350394,17.179809735863696,19.969448721220182,20.469590824666202,19.99941145722777,21.118943233599946,20.023590069164598,20.15086668825646
6,3.5446311655244624,3.206584752954556,0.01673810847066,37.922319015804,0.14222207927834915,3.976042197643168,0.024915115909648893,7.498656550221665,23.49271729409026,28.189248676147926,0.017661644059857377,5.6201525050407024e-06
7,0.0029569399890381747,1.6066417949298966,8.338664277592517e-10,11.824474596692331,3.789561257387202e-15,0.48756682415912944,1.0648667133258035e-12,0.024830882350829562,0.0595127542038009,10.984854780469611,3.7213491547542315e-12,3.4106051316484814e-14
8,29.586011188645053,34.18785133633966,8.509998906447436e-07,292.3329063446677,6.135517954438304e-08,0.13753133841519985,0.03316530190634239,52.964836464350604,92.29858377485452,85.42773714935869,18.347368442655192,0.21391751566626452
9,33.26225414790624,44.48490985249104,7.834886763501053,303.73977788986537,14.78108782809256,14.96546609297149,7.585297743093849,57.20994966871414,101.3527506771116,99.55942522566187,22.205287049757022,6.714052532352343
10,1534.8609591441286,1025.0009752598166,2.208020131923028,3859.064655029413,29.180466257927037,1.090723101715533,1.9846506954663103,461.44134137509457,2378.2965628485645,3017.844482781356,805.3096585301059,44.560252615015635
11,1665.8137133501443,1689.6440650315571,368.6472571015328,3841.980745397807,611.5220906564667,474.60635049067383,167.89920601067436,982.2041630118458,2254.315782169743,3426.8262627528584,1057.5318351223818,404.30054177499636
12,1.7455083844129755,2.0175848196028556,0.08029578156408657,6.805916123600809,0.1374137195313551,0.039644686230553755,0.05214707158658404,0.07281627244886593,1.2326439784950025,4.122568137488004,0.221614852128179,0.20818920560266177
13,0.19445274622903522,0.2549819376530801,0.16654468843586676,2.531970479217383,0.20851864223018307,0.5248969995256403,0.17847847782880608,0.6439899168846674,0.7064022513420848,5.227818229639153,0.1659948670199355,0.18309555450044473
14,0.46965275403722445,0.5057440267638867,0.21568648859890796,5.95561286431232,0.2611357726743411,0.5097052440476166,0.21904209913890701,0.4759144225702054,0.5088366997644168,16.822021698249802,0.25644497804908795,0.2690048960748906
15,2.138160776172511,6.322622840956857,1.634886669698623,141060152.66593552,2.077933578006499,2.8951131404267927,1.6710389047138505,9.35493205519133,536.2818402132251,16.885262001409334,2.714380618465801,1.884330863986664
16,8.119482609277194,6.543265458118617,3.8012579700797535,9.44397340631715,4.450692967036677,3.622675709238221,3.3299534385812875,5.328442212922512,7.652486394807322,8.956789699761611,6.368534288309699,4.874583299432349
17,353.34153959250915,97469.97558312773,815.8225052587114,1857.9543686318584,768.1923430562292,772053.9118872997,9698.783395771427,124183.32664720023,4691424.446631836,278587.96532045066,19.59999466230712,39.763898958388836
18,148.64636213142364,85430.33792584302,2285.1837471226686,8326.838019959901,4310.025984183813,80431.62732618823,23835.550993338486,76607.89139262722,10282982.506725099,6454512.25297934,25.168309629815038,108.38543644124147
19,11.095795769422216,20.261485189086997,8.74512009068376,471.56352875923136,8.310532450846722,506.5814315834078,10.617256358109223,21.135050180957712,129800.60424581826,663.8040664651235,9.220455325904588,9.670082144586626
20,10.292986501633647,110841.24569640725,16.8751863730793,1844.4268079441717,13.323838418665847,49630.722433935334,690.159431738033,43124.253380780734,7271157274.39004,165165.86886885107,5.482390511382709,4.029205666266292
21,84.61979644152642,514564.2334937222,117.33816113931357,15921598659.240837,320.5478122519265,132880.79920520322,3228.3172646468056,27394.389015986977,2436540.164025634,318005.65041968453,28.1708406114108,7.930956074278386
22,286.1227876266414,575.7362899345437,71.5678372731031,3737.5296812832985,23.892358846902393,432.1238960946492,31.177158070066266,352.2724566176795,234328.1899256577,708.7408324929389,24.717887903775182,26.47150853236106
23,202.8742314263726,209.02128181716313,193.26994697978895,206.5684172127791,194.23037542444732,205.80378038918815,195.19080386910593,199.99294609239945,200.00000000152406,250.65960233235575,199.9929460923984,193.26994697978895
24,214.23335211299002,200.02102712255495,212.16612202524414,297.06298479348857,212.10287084873275,216.29270901342372,164.0804974843671,221.38254558531668,200.0010592977814,276.325295182334,213.53178577282716,209.18347317977748
25,204.38299040055293,203.85255208931684,202.19370727512288,228.06932101691194,202.13949077382983,203.81231017635005,202.19429054415068,204.2934832351642,200.00000000023448,223.4685437582292,202.13407126525843,202.1118983695709
26,100.19896579979374,100.31389932039863,100.17318499068192,230.46949616693567,100.19492842669197,100.49632642482447,100.18014433681284,100.5718937557481,104.98918411292365,102.68780850433922,100.17496603214903,100.18895678232683
27,363.76555074651066,372.34582263141704,304.57127604418685,3469.2594935375705,309.2865495955318,399.07030034748027,282.28126056060626,479.24650043447804,200.00000000127844,499.4769022829368,300.15238823645126,300.00021939947476
28,915.9760691121081,805.1617112428726,660.9424880739422,3475.3264383382284,605.3750148746117,957.6259738637824,812.5832099933484,1169.7656885623135,200.00000000784266,827.105146928601,618.6675871762382,602.2285386221414
29,1832.4398895715653,18924.758827023583,1638.9709183605532,8735.024938204324,1306.114978824505,34861.186326083836,3642.8517675303465,10785.346483622088,200.0023596685631,173915.51253423438,1342.9722204865427,1094.9837194684162
30,16185.903034366678,179267.0088206243,11587.485944762693,52656.685093636865,23128.695382939877,257024.2469980455,36060.567508933695,4185775.924474577,200.38023859565635,1848487.387710535,10385.366431366472,8528.059811885527
