alg,mean_rank
jSO,3.0833333333333335
JADE,3.6
LSHADE,3.85
NLSHADE-RSP,4.0
Spiral-LSHADE,4.2
CMAES,5.966666666666667
MealpyGA,7.533333333333333
PSO,8.033333333333333
SSA,8.266666666666667
GWO,8.5
SciPyDE,10.333333333333334
LBFGSB,10.633333333333333
