alg,mean_rank
LSHADE,2.2083333333333335
jSO,2.4166666666666665
JADE,3.2083333333333335
Spiral-LSHADE,3.9166666666666665
NLSHADE-RSP,5.083333333333333
CMAES,5.25
PSO,7.75
GWO,8.166666666666666
GA,8.5
SciPyDE,9.666666666666666
SSA,10.5
LBFGSB,11.333333333333334
