fid,CMAES,GA,GWO,JADE,LBFGSB,LSHADE,NLSHADE-RSP,PSO,SSA,SciPyDE,Spiral-LSHADE,jSO
1,7532.6,,,63403.333333333336,62021.41176470588,53940.0,80002.0,80100.0,,,80000.0,66765.13333333333
2,2331545.0,,,,,,,,,,,
3,4026.6,,,50020.0,,39793.333333333336,80002.0,80100.0,152100.0,,80000.0,59733.76666666667
4,,,,,,,,,,,,
5,267819.28571428574,,,57553.333333333336,,48776.66666666666,1200002.0,,,,80000.0,62660.96666666667
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,7901.0,,,78973.33333333333,,69076.66666666667,82760.62068965517,104447.82608695651,,,,74104.96666666666
12,,,,,,,,,,,,
