alg,mean_rank
NLSHADE-RSP,2.85
jSO,3.2333333333333334
Spiral-LSHADE,3.566666666666667
LSHADE,3.933333333333333
JADE,4.783333333333333
CMAES,6.466666666666667
PSO,7.833333333333333
GWO,8.1
GA,8.133333333333333
SciPyDE,8.766666666666667
SSA,8.866666666666667
LBFGSB,11.466666666666667
