fid,CMAES,GA,GWO,JADE,LBFGSB,LSHADE,NLSHADE-RSP,PSO,SSA,SciPyDE,Spiral-LSHADE,jSO
1,7413.666666666667,,,69980.0,,39773.333333333336,,,,,40000.26666666667,40687.58620689655
2,5533.666666666667,,,48413.15789473684,,34845.0,52175.91304347826,,,,40000.5,36493.03333333333
3,4715.0,,,32038.0,,31161.666666666668,52175.91304347826,,,,40000.1,34595.933333333334
4,564096.0,,,283130.0,,1191250.0,,,,,300000.0,237342.8
5,,,,,,,,,,,,
6,,,,60538.82352941176,,235380.0,,,,,,44343.34615384616
7,96515.44444444444,,,,,1198500.0,200002.0,,,,46153.84615384616,54743.76190476191
8,,,,29840.0,,29298.33333333333,40002.0,,,,,53985.72727272727
9,,,,,,,,,,,,
10,,,,163734.2857142857,,92288.46153846152,171430.57142857142,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,1167061.0,,,,,400050.0,,,,,,1200166.0
18,,,,,,,,,,,,
19,,,,,,,,,,,,
20,,,,,,,,,,,,
21,,,,,,,,,,,,
22,,,,,,,,,,,,
23,,,,,,,92309.69230769233,,,,,
24,,,,,,,,,,,,
25,,,,,,,,,,,,
26,,,,,,,,,,,,
27,,,,,,,,,,,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,
30,,,,,,,,,,,,
