fid,CMAES,GA,GWO,JADE,LBFGSB,LSHADE,NLSHADE-RSP,PSO,SSA,SciPyDE,Spiral-LSHADE,jSO
4,30.431935839750274,21.133185163929628,28.841420123635604,28.113250556966086,1891.0145421758198,33.62093660037037,0.14481437064748473,21.19159634121378,152.68510368909563,24.731527775562213,29.128079616580102,28.98356603480219
5,20.45690257136672,20.059495955790517,19.905603719218153,19.405592187527837,20.00872850168507,18.793758905924904,18.465686586805692,20.33077527208935,19.99986251490243,20.86356352985828,19.605326320987842,18.845478823603464
6,1.5054180169954445,3.9085621928442,1.5708123675336803,0.17271666677592065,18.218078110075734,0.46990354540134455,0.11468726581916822,3.9780783386532295,10.022374242131274,12.026440340053155,0.36559151548303054,8.373529571295737e-06
7,0.010585672591912459,0.6731107540648471,0.9025377735163981,0.008266440417836866,25.069825523473487,0.004086026208669064,0.01681895466376011,0.2922144261352893,8.79032128367207,4.880544667518105,0.002133251225817877,0.0028748982725498055
8,12.779284007173905,0.1455910365429114,14.296998424161238,0.03316530190311368,139.24841454631976,0.0,0.0,19.766466046958556,35.32090394586779,19.94111880614381,3.382860626996914,0.23215732469555708
9,13.864722531435223,13.850582922843811,15.958354236168555,4.283418428767496,168.89108840091504,4.045926178834323,5.6149942973410365,25.172397653568243,40.29360408006912,34.513679256319755,5.844990434326697,2.856638551541293
10,613.4012134133343,1.250191445752292,395.50765455086184,4.556805741363011,1931.8138471693694,0.0457999242647626,0.06667010378572134,170.9121174525997,1187.9146874972773,365.61650447567456,47.445982415548784,2.1209450421630813
11,717.8000205974662,588.082293728274,417.36022747242595,272.55604656091845,1891.7748156350378,199.96395353155694,176.79098910793223,521.0174115855284,1210.5044705352454,1223.4302009025114,277.87872460046333,105.9953865447795
12,0.7428387827370443,0.31151368890311154,1.3158703039132282,0.09530633878641762,6.486419382806829,0.2825391683730837,0.19149197290892814,0.20751205998159697,1.0049696665693166,3.2496214896851447,0.23120637465008256,0.9067584367654036
13,0.1157553378722165,0.4849348376590494,0.19205882356992934,0.12554823903759213,1.2393335174302063,0.12632407643472254,0.09467870947744354,0.41402991047859816,0.5562776217348149,3.8579085897268746,0.0931196213060502,0.11620732427069616
14,0.45048843376828246,0.450810068341904,0.22401497894965508,0.20545024674856902,0.5000085069826962,0.18189611987365875,0.1475363456788803,0.3788192153596052,0.4574638546764618,6.4802584612528715,0.14784306116487184,0.18248779423178496
15,1.1388783726515006,2.807653034735525,1.9237347361994201,0.5064668725357023,5046336.423092516,0.6244337075569244,0.7881616671498402,2.4061115380168228,104.4572747018845,6.301958038968079,0.744702023702636,0.6253028173995971
16,3.6192839421562666,2.645555312569142,2.357107778724973,2.2498663702033808,4.67846937509214,2.075557771153876,1.984416577467535,2.7997425833076552,3.4682109217776165,4.295150991889818,2.5389594046265,1.9116167628081484
17,160.9523477833528,9467.212875206256,13279.803224889427,298.67897732735395,445253932.7468621,163.43205974624485,154.46691869486114,4065.643200165699,49571.47658375993,600.0634727475093,0.10491432386450768,0.11376863585513394
18,6.808622882211572,17917.17259303107,26180.738117967387,2.3708708435633903,2236191945.1384163,1.0281823513176656,1.9279546113498252,698.854865675357,10292.48164958591,29.637270413444913,0.5062683319573125,0.4926901573089632
19,8.435374036076398,55.34987976883813,13.208384619313135,3.845308726017174,4460826699.560675,2.3269316656710997,2.7901914775605747,17.820291604787794,5923.718817645579,6.669306604680234,2.47957816759465,2.528627571485974
20,5.36101879169236,17122.701723869643,26061.805664684773,232.59969402125765,5.169137672673516e+16,0.9989952329650653,4.19352812120247,10363.987465050095,1000215093.4191107,91.24297630895894,1.0348909469452034,0.568347273961884
21,0.8975857189678209,13620.576304007289,6058.421122345666,4.644489415992121,1506688187.8979585,2.2418263768754665,2.0123064714614127,107.0938257371243,144133.01932201657,19.94224156519008,0.9925925881557153,0.5269699271954777
22,194.0640879189435,149.84814022441063,154.9830372336924,81.84339472175526,1.1865377919417366e+17,37.7356915410948,9.465542837458754,135.9463171459392,162185.35385087802,138.75062625726486,22.69687916325479,19.127033132722104
23,241.6885878448062,238.87697294203366,211.09716835083105,242.04844911485895,247.9976228527182,242.04844911485895,134.26759257338597,241.6885878448066,200.00000000028012,261.2716840368427,242.2283797498853,241.86851847983255
24,123.16218549061118,125.17777862997973,120.28013250997151,110.06289520931018,265.4685514201451,109.93848180001126,110.80522734912388,137.138848719922,195.73826164899023,188.4761647129271,111.57652200159266,104.95265708523289
25,193.98284425854987,200.21482642417368,200.74849039128264,195.02265801727498,210.10577414743472,198.94554531378938,142.4030522285478,198.1804737017237,200.00000000021603,206.54185534315192,194.30212374391388,195.57756610170006
26,100.11730726239765,100.50600045690297,100.18115962674185,100.11104808386172,262.7729424488117,100.1241428400121,100.10460372133593,100.4096691549428,103.97878097632088,101.6412206547762,100.08969742781169,100.11781118814552
27,338.4880798621208,373.49592539895355,361.7456580750516,308.84499211154406,1341.1315839892854,289.7134246990038,4.929997630145499,383.91222092830384,200.00000000044565,328.8417712356713,70.6296231871811,214.8335041603499
28,437.7564128435258,509.2846237862758,447.83797104448735,421.6373445106015,2018.2834934953748,406.26184817539564,364.2586213718047,519.0284379570845,200.00000000079464,478.60775639184914,363.53518622189597,371.3966243506432
29,6531518.912867145,5150130.229076311,5867534.872694461,5446745.69403444,7565273.231425854,5154093.757169127,4499877.199432803,5303622.511276113,200.0000095570726,5122635.246698412,4743224.404890546,5042812.253925595
30,715344.5580009917,1035363.6046763973,922162.5045359896,23454.198279128068,43908.29992651391,17340.787447857954,2591.8250590189086,67987.42100052685,200.38950414633288,12510.109757259472,2922.55147958915,2372.526486682173
