fid,CMAES,GA,GWO,JADE,LBFGSB,LSHADE,NLSHADE-RSP,PSO,SSA,SciPyDE,Spiral-LSHADE,jSO
1,1.326e-14 ± 8.289e-15,6.313e+06 ± 7.820e+06,1.480e+06 ± 1.469e+06,1.673e+02 ± 9.162e+02,7.512e+08 ± 3.841e+09,3.086e-12 ± 9.740e-12,3.185e+02 ± 4.145e+02,4.046e+04 ± 3.909e+04,2.049e+07 ± 2.627e+07,5.178e+03 ± 3.002e+03,6.459e-12 ± 8.615e-12,7.394e-10 ± 3.191e-09
2,2.084e-14 ± 1.278e-14,3.951e+05 ± 2.908e+05,2.318e+04 ± 9.298e+04,1.767e-03 ± 9.230e-03,6.785e+09 ± 2.085e+10,3.790e-15 ± 1.624e-14,3.424e-08 ± 1.518e-07,1.534e+03 ± 1.853e+03,3.698e+06 ± 2.024e+07,9.934e-01 ± 2.594e-01,1.895e-15 ± 7.211e-15,2.842e-14 ± 2.239e-14
3,2.274e-14 ± 3.202e-14,8.981e+03 ± 6.966e+03,1.199e+03 ± 1.025e+03,3.187e-10 ± 1.281e-09,1.538e-03 ± 5.550e-03,0.000e+00 ± 0.000e+00,1.951e-08 ± 6.389e-08,7.678e+02 ± 1.064e+03,7.252e+03 ± 5.688e+03,1.508e+00 ± 6.463e-01,5.684e-15 ± 1.734e-14,1.705e-14 ± 2.649e-14
4,3.043e+01 ± 1.130e+01,2.113e+01 ± 1.855e+01,2.884e+01 ± 1.232e+01,2.811e+01 ± 1.359e+01,1.891e+03 ± 4.454e+03,3.362e+01 ± 6.350e+00,1.448e-01 ± 7.915e-01,2.119e+01 ± 1.648e+01,1.527e+02 ± 1.803e+02,2.473e+01 ± 1.710e+01,2.913e+01 ± 1.287e+01,2.898e+01 ± 1.318e+01
5,2.046e+01 ± 2.130e-01,2.006e+01 ± 2.203e-02,1.991e+01 ± 2.920e+00,1.941e+01 ± 3.341e+00,2.001e+01 ± 4.822e-02,1.879e+01 ± 3.671e+00,1.847e+01 ± 4.869e+00,2.033e+01 ± 1.473e-01,2.000e+01 ± 3.971e-04,2.086e+01 ± 1.318e-01,1.961e+01 ± 1.118e+00,1.885e+01 ± 5.130e+00
6,1.505e+00 ± 1.208e+00,3.909e+00 ± 1.162e+00,1.571e+00 ± 9.151e-01,1.727e-01 ± 3.615e-01,1.822e+01 ± 1.931e+00,4.699e-01 ± 3.669e-01,1.147e-01 ± 1.749e-01,3.978e+00 ± 1.594e+00,1.002e+01 ± 1.813e+00,1.203e+01 ± 1.179e+00,3.656e-01 ± 5.669e-01,8.374e-06 ± 2.814e-05
7,1.059e-02 ± 8.934e-03,6.731e-01 ± 1.474e-01,9.025e-01 ± 3.494e-01,8.266e-03 ± 7.189e-03,2.507e+01 ± 5.011e+01,4.086e-03 ± 4.475e-03,1.682e-02 ± 1.158e-02,2.922e-01 ± 1.813e-01,8.790e+00 ± 7.211e+00,4.881e+00 ± 1.327e+00,2.133e-03 ± 6.053e-03,2.875e-03 ± 4.625e-03
8,1.278e+01 ± 5.274e+00,1.456e-01 ± 1.077e-01,1.430e+01 ± 8.509e+00,3.317e-02 ± 1.817e-01,1.392e+02 ± 5.058e+01,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,1.977e+01 ± 1.164e+01,3.532e+01 ± 1.564e+01,1.994e+01 ± 5.629e+00,3.383e+00 ± 1.269e+00,2.322e-01 ± 6.755e-01
9,1.386e+01 ± 6.081e+00,1.385e+01 ± 5.886e+00,1.596e+01 ± 9.557e+00,4.283e+00 ± 1.411e+00,1.689e+02 ± 6.043e+01,4.046e+00 ± 1.352e+00,5.615e+00 ± 1.688e+00,2.517e+01 ± 1.040e+01,4.029e+01 ± 1.184e+01,3.451e+01 ± 7.047e+00,5.845e+00 ± 2.074e+00,2.857e+00 ± 1.162e+00
10,6.134e+02 ± 3.123e+02,1.250e+00 ± 1.023e+00,3.955e+02 ± 3.165e+02,4.557e+00 ± 2.171e+01,1.932e+03 ± 6.193e+02,4.580e-02 ± 5.666e-02,6.667e-02 ± 6.122e-02,1.709e+02 ± 1.333e+02,1.188e+03 ± 2.734e+02,3.656e+02 ± 1.777e+02,4.745e+01 ± 5.946e+01,2.121e+00 ± 2.250e+00
