alg1,alg2,diff,significant
NLSHADE-RSP,jSO,0.3833333333333333,False
NLSHADE-RSP,Spiral-LSHADE,0.7166666666666668,False
NLSHADE-RSP,LSHADE,1.083333333333333,False
NLSHADE-RSP,JADE,1.9333333333333331,False
NLSHADE-RSP,CMAES,3.6166666666666667,True
NLSHADE-RSP,PSO,4.9833333333333325,True
NLSHADE-RSP,GWO,5.25,True
NLSHADE-RSP,GA,5.283333333333333,True
NLSHADE-RSP,SciPyDE,5.916666666666668,True
NLSHADE-RSP,SSA,6.0166666666666675,True
NLSHADE-RSP,LBFGSB,8.616666666666667,True
jSO,Spiral-LSHADE,0.3333333333333335,False
jSO,LSHADE,0.6999999999999997,False
jSO,JADE,1.5499999999999998,False
jSO,CMAES,3.2333333333333334,True
jSO,PSO,4.6,True
jSO,GWO,4.866666666666666,True
jSO,GA,4.8999999999999995,True
jSO,SciPyDE,5.533333333333334,True
jSO,SSA,5.633333333333334,True
jSO,LBFGSB,8.233333333333334,True
Spiral-LSHADE,LSHADE,0.36666666666666625,False
Spiral-LSHADE,JADE,1.2166666666666663,False
Spiral-LSHADE,CMAES,2.9,False
Spiral-LSHADE,PSO,4.266666666666666,True
Spiral-LSHADE,GWO,4.533333333333333,True
Spiral-LSHADE,GA,4.566666666666666,True
Spiral-LSHADE,SciPyDE,5.200000000000001,True
Spiral-LSHADE,SSA,5.300000000000001,True
Spiral-LSHADE,LBFGSB,7.9,True
LSHADE,JADE,0.8500000000000001,False
LSHADE,CMAES,2.5333333333333337,False
LSHADE,PSO,3.9,True
LSHADE,GWO,4.166666666666666,True
LSHADE,GA,4.199999999999999,True
LSHADE,SciPyDE,4.833333333333334,True
LSHADE,SSA,4.933333333333334,True
LSHADE,LBFGSB,7.533333333333333,True
JADE,CMAES,1.6833333333333336,False
JADE,PSO,3.05,True
JADE,GWO,3.3166666666666664,True
JADE,GA,3.3499999999999996,True
JADE,SciPyDE,3.9833333333333343,True
JADE,SSA,4.083333333333334,True
JADE,LBFGSB,6.683333333333334,True
CMAES,PSO,1.3666666666666663,False
CMAES,GWO,1.6333333333333329,False
CMAES,GA,1.666666666666666,False
CMAES,SciPyDE,2.3000000000000007,False
CMAES,SSA,2.4000000000000004,False
CMAES,LBFGSB,5.0,True
PSO,GWO,0.2666666666666666,False
PSO,GA,0.2999999999999998,False
PSO,SciPyDE,0.9333333333333345,False
PSO,SSA,1.033333333333334,False
PSO,LBFGSB,3.6333333333333337,True
GWO,GA,0.033333333333333215,False
GWO,SciPyDE,0.6666666666666679,False
GWO,SSA,0.7666666666666675,False
GWO,LBFGSB,3.366666666666667,True
GA,SciPyDE,0.6333333333333346,False
GA,SSA,0.7333333333333343,False
GA,LBFGSB,3.333333333333334,True
SciPyDE,SSA,0.09999999999999964,False
SciPyDE,LBFGSB,2.6999999999999993,False
SSA,LBFGSB,2.5999999999999996,False
